----data/ds_1000_short----
ijson
         20787 function calls (19458 primitive calls) in 0.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 weakref.py:134(__getitem__)
       66    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        3    0.000    0.000    0.000    0.000 model.py:467(build_backend_type)
       13    0.000    0.000    0.000    0.000 c_parser.py:182(_is_type_in_scope)
        9    0.000    0.000    0.000    0.000 c_parser.py:802(p_declaration_specifiers_6)
       15    0.000    0.000    0.000    0.000 weakref.py:193(get)
        1    0.000    0.000    0.000    0.000 model.py:513(build_baseinttype)
       25    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.001    0.000 api.py:870(make_accessor)
        6    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_function_type}
        9    0.000    0.000    0.000    0.000 c_parser.py:766(p_declaration_specifiers_no_type_2)
       16    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 api.py:804(accessor_function)
       10    0.000    0.000    0.000    0.000 c_parser.py:546(p_external_declaration_2)
       27    0.000    0.000    0.000    0.000 yacc.py:254(__len__)
       11    0.000    0.000    0.000    0.000 c_lexer.py:326(t_NEWLINE)
       24    0.000    0.000    0.000    0.000 c_ast.py:716(__init__)
       25    0.000    0.000    0.000    0.000 plyparser.py:20(__init__)
        4    0.000    0.000    0.000    0.000 model.py:272(build_backend_type)
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.newp}
       11    0.000    0.000    0.000    0.000 c_parser.py:838(p_type_specifier)
       12    0.000    0.000    0.000    0.000 c_parser.py:853(p_init_declarator_list)
       12    0.000    0.000    0.000    0.000 c_parser.py:1094(p_xxx_declarator_1)
        4    0.000    0.000    0.000    0.000 lex.py:263(begin)
       25    0.000    0.000    0.000    0.000 plyparser.py:125(param_rule)
        1    0.000    0.000    0.000    0.000 cparser.py:195(_common_type_names)
        4    0.000    0.000    0.000    0.000 model.py:336(get_official_name)
        2    0.000    0.000    0.000    0.000 model.py:414(<listcomp>)
